type,text
link,Home
link,Random
link,Nearby
link,Log in
link,Settings
link,Donate
link,About Wikipedia
link,Disclaimers
link,Article
link,Talk
link,Language
link,Watch
link,View source
link,magazine
link,Frank Munsey
link,John Kendrick Bangs
link,American News Company
link,pretty young woman on the cover
link,O. Henry
link,H. Rider Haggard
link,Arthur Conan Doyle
link,Bret Harte
link,Max Brand
link,Edgar Rice Burroughs
link,P. G. Wodehouse
link,Joseph Conrad
link,Ella Wheeler Wilcox
link,Argosy
link,subscriptions
link,McClure's
link,Cosmopolitan
link,Everybody's Magazine
link,1 Publication history
link,1.1 Munsey's Weekly
link,1.2 Munsey's Magazine
link,1.3 Later years
link,2 Contents and reception
link,2.1 19th century
link,2.2 20th century
link,3 Assessment
link,4 Bibliographic details
link,4.1 Other details
link,5 Notes
link,6 References
link,7 Sources
link,8 External links
link,Frank Munsey
link,"Augusta, Maine"
link,[1]
link,The Golden Argosy
link,[2]
link,[3]
link,[4]
link,[5]
link,[note 1]
link,[9]
link,[10]
link,quarto
link,[note 2]
link,[8]
link,Life
link,John Kendrick Bangs
link,[8]
link,Harper's
link,serialized
link,Daily Continent
link,[12]
link,New York Star
link,[13]
link,[14]
link,[15]
link,[16]
link,[17]
link,Printers' Ink
link,[18]
link,[14]
link,[19]
link,[note 3]
link,[19]
link,[21]
link,[10]
link,[19]
link,Panic of 1893
link,[10]
link,Ladies' Home Journal
link,[22]
link,[23]
link,[24]
link,McClure's
link,Cosmopolitan
link,[22]
link,[25]
link,[21]
link,[26]
link,American News Company
link,[27]
link,[26]
link,[28]
link,[29]
link,[30]
link,Charles Dana
link,Sun
link,[26]
link,[28]
link,[29]
link,[31]
link,[32]
link,[6]
link,[32]
link,[32]
link,[33]
link,Everybody's Magazine
link,muckraking
link,[note 4]
link,[35]
link,[36]
link,[37]
link,[6]
link,Rotary presses
link,[38]
link,pulp
link,pulp magazine
link,signatures
link,[39]
link,[note 5]
link,[43]
link,[36]
link,halftones
link,woodcuts
link,[36]
link,[44]
link,[36]
link,Three-color covers
link,flatbed printing
link,[45]
link,[46]
link,[47]
link,[48]
link,All-Story
link,[49]
link,William Dewart
link,[50]
link,[51]
link,[52]
link,[53]
link,society
link,"Washington, D.C."
link,[8]
link,Charles Howard Johnson
link,E. L. Durand
link,[8]
link,[54]
link,Frank Luther Mott
link,[8]
link,[55]
link,[14]
link,[14]
link,[26]
link,Horatio Alger
link,[26]
link,[56]
link,[26]
link,[57]
link,[58]
link,Hall Caine
link,F. Marion Crawford
link,H. Rider Haggard
link,Anthony Hope Hawkins
link,Myrtle Reed
link,Grace MacGowan Cooke
link,Ella Wheeler Wilcox
link,[57]
link,[59]
link,[60]
link,[61]
link,[53]
link,The Independent
link,[6]
link,[62]
link,[6]
link,[26]
link,[57]
link,Wilkes-Barre
link,[6]
link,[57]
link,Spanish–American War
link,[24]
link,Theodore Dreiser
link,Theodore Roosevelt
link,Thomas B. Reed
link,Arthur Conan Doyle
link,Bret Harte
link,Frank R. Stockton
link,[57]
link,[24]
link,[24]
link,muckraking
link,[63]
link,Republican
link,Progressive Party
